"PassengerId","Survived","Pclass","Sex","NameTitle","NameTitle2","Age","SibSp","Parch","Total","ParTog","ChiTog","SibTog","Role","Ticket","Fare","Embarked"
29,"S","C","female","Miss.","Miss.",23,0,0,1,"N","N","N","N","330959",7.8792,"Q"
30,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","349216",7.8958,"S"
31,"D","A","male","Don.","Mr.",40,0,0,1,"N","N","N","N","PC 17601",27.7208,"C"
32,"S","A","female","Mrs.","Mrs.",42,1,0,2,"N","N","Y","N","PC 17569",146.5208,"C"
33,"S","C","female","Miss.","Miss.",23,0,0,1,"N","N","N","N","335677",7.75,"Q"
34,"D","B","male","Mr.","Mr.",66,0,0,1,"N","N","N","N","C.A. 24579",10.5,"S"
35,"D","A","male","Mr.","Mr.",28,1,0,2,"N","N","Y","N","PC 17604",82.1708,"C"
36,"D","A","male","Mr.","Mr.",42,1,0,2,"N","N","Y","N","113789",52,"S"
37,"S","C","male","Mr.","Mr.",25,0,0,1,"N","N","N","N","2677",7.2292,"C"
38,"D","C","male","Mr.","Mr.",21,0,0,1,"N","N","N","N","A./5. 2152",8.05,"S"
39,"D","C","female","Miss.","Miss.",18,2,0,3,"N","N","Y","N","345764",18,"S"
40,"S","C","female","Miss.","Miss.",14,1,0,2,"N","N","Y","N","2651",11.2417,"C"
41,"D","C","female","Mrs.","Mrs.",40,1,0,2,"N","N","Y","N","7546",9.475,"S"
42,"D","B","female","Mrs.","Mrs.",27,1,0,2,"N","N","Y","N","11668",21,"S"
43,"D","C","male","Mr.","Mr.",25,0,0,1,"N","N","N","N","349253",7.8958,"C"
44,"S","B","female","Miss.","Miss.",3,1,2,4,"Y","N","Y","C","SC/Paris 2123",41.5792,"C"
45,"S","C","female","Miss.","Miss.",19,0,0,1,"N","N","N","N","330958",7.8792,"Q"
46,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","S.C./A.4. 23567",8.05,"S"
47,"D","C","male","Mr.","Mr.",37,1,0,2,"N","N","Y","N","370371",15.5,"Q"
48,"S","C","female","Miss.","Miss.",23,0,0,1,"N","N","N","N","14311",7.75,"Q"
49,"D","C","male","Mr.","Mr.",25,2,0,3,"N","N","Y","N","2662",21.6792,"C"
50,"D","C","female","Mrs.","Mrs.",18,1,0,2,"N","N","Y","N","349237",17.8,"S"
51,"D","C","male","Master.","Master.",7,4,1,6,"Y","N","Y","C","3101295",39.6875,"S"
52,"D","C","male","Mr.","Mr.",21,0,0,1,"N","N","N","N","A/4. 39886",7.8,"S"
53,"S","A","female","Mrs.","Mrs.",49,1,0,2,"N","N","Y","N","PC 17572",76.7292,"C"
54,"S","B","female","Mrs.","Mrs.",29,1,0,2,"N","N","Y","N","2926",26,"S"
55,"D","A","male","Mr.","Mr.",65,0,1,2,"N","Y","N","P","113509",61.9792,"C"
56,"S","A","male","Mr.","Mr.",41,0,0,1,"N","N","N","N","19947",35.5,"S"
57,"S","B","female","Miss.","Miss.",21,0,0,1,"N","N","N","N","C.A. 31026",10.5,"S"
58,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","2697",7.2292,"C"
59,"S","B","female","Miss.","Miss.",5,1,2,4,"Y","N","Y","C","C.A. 34651",27.75,"S"
60,"D","C","male","Master.","Master.",11,5,2,8,"Y","N","Y","C","CA 2144",46.9,"S"
61,"D","C","male","Mr.","Mr.",22,0,0,1,"N","N","N","N","2669",7.2292,"C"
62,"S","A","female","Miss.","Miss.",38,0,0,1,"N","N","N","N","113572",80,"C"
63,"D","A","male","Mr.","Mr.",45,1,0,2,"N","N","Y","N","36973",83.475,"S"
64,"D","C","male","Master.","Master.",4,3,2,6,"Y","N","Y","C","347088",27.9,"S"
65,"D","A","male","Mr.","Mr.",41,0,0,1,"N","N","N","N","PC 17605",27.7208,"C"
66,"S","C","male","Master.","Master.",4,1,1,3,"Y","N","Y","C","2661",15.2458,"C"
67,"S","B","female","Mrs.","Mrs.",29,0,0,1,"N","N","N","N","C.A. 29395",10.5,"S"
68,"D","C","male","Mr.","Mr.",19,0,0,1,"N","N","N","N","S.P. 3464",8.1583,"S"
69,"S","C","female","Miss.","Miss.",17,4,2,7,"N","N","Y","N","3101281",7.925,"S"
70,"D","C","male","Mr.","Mr.",26,2,0,3,"N","N","Y","N","315151",8.6625,"S"
71,"D","B","male","Mr.","Mr.",32,0,0,1,"N","N","N","N","C.A. 33111",10.5,"S"
72,"D","C","female","Miss.","Miss.",16,5,2,8,"Y","N","Y","C","CA 2144",46.9,"S"
73,"D","B","male","Mr.","Mr.",21,0,0,1,"N","N","N","N","S.O.C. 14879",73.5,"S"
74,"D","C","male","Mr.","Mr.",26,1,0,2,"N","N","Y","N","2680",14.4542,"C"
75,"S","C","male","Mr.","Mr.",32,0,0,1,"N","N","N","N","1601",56.4958,"S"
76,"D","C","male","Mr.","Mr.",25,0,0,1,"N","N","N","N","348123",7.65,"S"
77,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","349208",7.8958,"S"
78,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","374746",8.05,"S"
79,"S","B","male","Master.","Master.",1,0,2,3,"Y","N","N","C","248738",29,"S"
80,"S","C","female","Miss.","Miss.",30,0,0,1,"N","N","N","N","364516",12.475,"S"
81,"D","C","male","Mr.","Mr.",22,0,0,1,"N","N","N","N","345767",9,"S"
82,"S","C","male","Mr.","Mr.",29,0,0,1,"N","N","N","N","345779",9.5,"S"
83,"S","C","female","Miss.","Miss.",23,0,0,1,"N","N","N","N","330932",7.7875,"Q"
84,"D","A","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","113059",47.1,"S"
85,"S","B","female","Miss.","Miss.",17,0,0,1,"N","N","N","N","SO/C 14885",10.5,"S"
86,"S","C","female","Mrs.","Mrs.",33,3,0,4,"N","N","Y","N","3101278",15.85,"S"
87,"D","C","male","Mr.","Mr.",16,1,3,5,"Y","N","Y","C","W./C. 6608",34.375,"S"
88,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","SOTON/OQ 392086",8.05,"S"
89,"S","A","female","Miss.","Miss.",23,3,2,6,"Y","N","Y","C","19950",263,"S"
90,"D","C","male","Mr.","Mr.",24,0,0,1,"N","N","N","N","343275",8.05,"S"
91,"D","C","male","Mr.","Mr.",29,0,0,1,"N","N","N","N","343276",8.05,"S"
92,"D","C","male","Mr.","Mr.",20,0,0,1,"N","N","N","N","347466",7.8542,"S"
93,"D","A","male","Mr.","Mr.",46,1,0,2,"N","N","Y","N","W.E.P. 5734",61.175,"S"
94,"D","C","male","Mr.","Mr.",26,1,2,4,"N","Y","Y","P","C.A. 2315",20.575,"S"
95,"D","C","male","Mr.","Mr.",59,0,0,1,"N","N","N","N","364500",7.25,"S"
96,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","374910",8.05,"S"
97,"D","A","male","Mr.","Mr.",71,0,0,1,"N","N","N","N","PC 17754",34.6542,"C"
98,"S","A","male","Mr.","Mr.",23,0,1,2,"Y","N","N","C","PC 17759",63.3583,"C"
99,"S","B","female","Mrs.","Mrs.",34,0,1,2,"N","Y","N","P","231919",23,"S"
100,"D","B","male","Mr.","Mr.",34,1,0,2,"N","N","Y","N","244367",26,"S"
101,"D","C","female","Miss.","Miss.",28,0,0,1,"N","N","N","N","349245",7.8958,"S"
102,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","349215",7.8958,"S"
103,"D","A","male","Mr.","Mr.",21,0,1,2,"Y","N","N","C","35281",77.2875,"S"
104,"D","C","male","Mr.","Mr.",33,0,0,1,"N","N","N","N","7540",8.6542,"S"
105,"D","C","male","Mr.","Mr.",37,2,0,3,"N","N","Y","N","3101276",7.925,"S"
106,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","349207",7.8958,"S"
107,"S","C","female","Miss.","Miss.",21,0,0,1,"N","N","N","N","343120",7.65,"S"
108,"S","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","312991",7.775,"S"
109,"D","C","male","Mr.","Mr.",38,0,0,1,"N","N","N","N","349249",7.8958,"S"
110,"S","C","female","Miss.","Miss.",23,1,0,2,"N","N","Y","N","371110",24.15,"Q"
111,"D","A","male","Mr.","Mr.",47,0,0,1,"N","N","N","N","110465",52,"S"
112,"D","C","female","Miss.","Miss.",14,1,0,2,"N","N","Y","N","2665",14.4542,"C"
113,"D","C","male","Mr.","Mr.",22,0,0,1,"N","N","N","N","324669",8.05,"S"
114,"D","C","female","Miss.","Miss.",20,1,0,2,"N","N","Y","N","4136",9.825,"S"
115,"D","C","female","Miss.","Miss.",17,0,0,1,"N","N","N","N","2627",14.4583,"C"
116,"D","C","male","Mr.","Mr.",21,0,0,1,"N","N","N","N","STON/O 2. 3101294",7.925,"S"
117,"D","C","male","Mr.","Mr.",70,0,0,1,"N","N","N","N","370369",7.75,"Q"
118,"D","B","male","Mr.","Mr.",29,1,0,2,"N","N","Y","N","11668",21,"S"
119,"D","A","male","Mr.","Mr.",24,0,1,2,"N","N","N","N","PC 17558",247.5208,"C"
120,"D","C","female","Miss.","Miss.",2,4,2,7,"Y","N","Y","C","347082",31.275,"S"
121,"D","B","male","Mr.","Mr.",21,2,0,3,"N","N","Y","N","S.O.C. 14879",73.5,"S"
122,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","A4. 54510",8.05,"S"
123,"D","B","male","Mr.","Mr.",32,1,0,2,"N","N","Y","N","237736",30.0708,"C"
124,"S","B","female","Miss.","Miss.",32,0,0,1,"N","N","N","N","27267",13,"S"
125,"D","A","male","Mr.","Mr.",54,0,1,2,"N","Y","N","P","35281",77.2875,"S"
126,"S","C","male","Master.","Master.",12,1,0,2,"N","N","Y","N","2651",11.2417,"C"
127,"D","C","male","Mr.","Mr.",37,0,0,1,"N","N","N","N","370372",7.75,"Q"
128,"S","C","male","Mr.","Mr.",24,0,0,1,"N","N","N","N","C 17369",7.1417,"S"
129,"S","C","female","Miss.","Miss.",6,1,1,3,"Y","N","Y","C","2668",22.3583,"C"
130,"D","C","male","Mr.","Mr.",45,0,0,1,"N","N","N","N","347061",6.975,"S"
131,"D","C","male","Mr.","Mr.",33,0,0,1,"N","N","N","N","349241",7.8958,"C"
132,"D","C","male","Mr.","Mr.",20,0,0,1,"N","N","N","N","SOTON/O.Q. 3101307",7.05,"S"
133,"D","C","female","Mrs.","Mrs.",47,1,0,2,"N","N","Y","N","A/5. 3337",14.5,"S"
134,"S","B","female","Mrs.","Mrs.",29,1,0,2,"N","N","Y","N","228414",26,"S"
135,"D","B","male","Mr.","Mr.",25,0,0,1,"N","N","N","N","C.A. 29178",13,"S"
136,"D","B","male","Mr.","Mr.",23,0,0,1,"N","N","N","N","SC/PARIS 2133",15.0458,"C"
137,"S","A","female","Miss.","Miss.",19,0,2,3,"N","N","N","N","11752",26.2833,"S"
138,"D","A","male","Mr.","Mr.",37,1,0,2,"N","N","Y","N","113803",53.1,"S"
139,"D","C","male","Mr.","Mr.",16,0,0,1,"N","N","N","N","7534",9.2167,"S"
140,"D","A","male","Mr.","Mr.",24,0,0,1,"N","N","N","N","PC 17593",79.2,"C"
141,"D","C","female","Mrs.","Mrs.",28,0,2,3,"N","Y","N","P","2678",15.2458,"C"
142,"S","C","female","Miss.","Miss.",22,0,0,1,"N","N","N","N","347081",7.75,"S"
143,"S","C","female","Mrs.","Mrs.",24,1,0,2,"N","N","Y","N","STON/O2. 3101279",15.85,"S"
144,"D","C","male","Mr.","Mr.",19,0,0,1,"N","N","N","N","365222",6.75,"Q"
145,"D","B","male","Mr.","Mr.",18,0,0,1,"N","N","N","N","231945",11.5,"S"
146,"D","B","male","Mr.","Mr.",19,1,1,3,"Y","N","Y","C","C.A. 33112",36.75,"S"
147,"S","C","male","Mr.","Mr.",27,0,0,1,"N","N","N","N","350043",7.7958,"S"
148,"D","C","female","Miss.","Miss.",9,2,2,5,"Y","N","Y","C","W./C. 6608",34.375,"S"
149,"D","B","male","Mr.","Mr.",36,0,2,3,"N","Y","N","P","230080",26,"S"
150,"D","B","male","Rev.","Rev.",42,0,0,1,"N","N","N","N","244310",13,"S"
151,"D","B","male","Rev.","Rev.",51,0,0,1,"N","N","N","N","S.O.P. 1166",12.525,"S"
152,"S","A","female","Mrs.","Mrs.",22,1,0,2,"N","N","Y","N","113776",66.6,"S"
153,"D","C","male","Mr.","Mr.",55,0,0,1,"N","N","N","N","A.5. 11206",8.05,"S"
154,"D","C","male","Mr.","Mr.",40,0,2,3,"N","Y","N","P","A/5. 851",14.5,"S"
155,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","Fa 265302",7.3125,"S"
156,"D","A","male","Mr.","Mr.",51,0,1,2,"N","Y","N","P","PC 17597",61.3792,"C"
157,"S","C","female","Miss.","Miss.",16,0,0,1,"N","N","N","N","35851",7.7333,"Q"
158,"D","C","male","Mr.","Mr.",30,0,0,1,"N","N","N","N","SOTON/OQ 392090",8.05,"S"
159,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","315037",8.6625,"S"
160,"D","C","male","Master.","Master.",5,8,2,11,"Y","N","Y","C","CA. 2343",69.55,"S"
161,"D","C","male","Mr.","Mr.",44,0,1,2,"N","Y","N","P","371362",16.1,"S"
162,"S","B","female","Mrs.","Mrs.",40,0,0,1,"N","N","N","N","C.A. 33595",15.75,"S"
163,"D","C","male","Mr.","Mr.",26,0,0,1,"N","N","N","N","347068",7.775,"S"
164,"D","C","male","Mr.","Mr.",17,0,0,1,"N","N","N","N","315093",8.6625,"S"
165,"D","C","male","Master.","Master.",1,4,1,6,"Y","N","Y","C","3101295",39.6875,"S"
166,"S","C","male","Master.","Master.",9,0,2,3,"Y","N","N","C","363291",20.525,"S"
167,"S","A","female","Mrs.","Mrs.",47,0,1,2,"N","Y","N","P","113505",55,"S"
168,"D","C","female","Mrs.","Mrs.",45,1,4,6,"N","Y","Y","P","347088",27.9,"S"
169,"D","A","male","Mr.","Mr.",41,0,0,1,"N","N","N","N","PC 17318",25.925,"S"
170,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","1601",56.4958,"S"
171,"D","A","male","Mr.","Mr.",61,0,0,1,"N","N","N","N","111240",33.5,"S"
172,"D","C","male","Master.","Master.",4,4,1,6,"Y","N","Y","C","382652",29.125,"Q"
173,"S","C","female","Miss.","Miss.",1,1,1,3,"Y","N","Y","C","347742",11.1333,"S"
174,"D","C","male","Mr.","Mr.",21,0,0,1,"N","N","N","N","STON/O 2. 3101280",7.925,"S"
175,"D","A","male","Mr.","Mr.",56,0,0,1,"N","N","N","N","17764",30.6958,"C"
176,"D","C","male","Mr.","Mr.",18,1,1,3,"N","N","Y","N","350404",7.8542,"S"
177,"D","C","male","Master.","Master.",5,3,1,5,"Y","N","Y","C","4133",25.4667,"S"
178,"D","A","female","Miss.","Miss.",50,0,0,1,"N","N","N","N","PC 17595",28.7125,"C"
179,"D","B","male","Mr.","Mr.",30,0,0,1,"N","N","N","N","250653",13,"S"
180,"D","C","male","Mr.","Mr.",36,0,0,1,"N","N","N","N","LINE",0,"S"
181,"D","C","female","Miss.","Miss.",7,8,2,11,"Y","N","Y","C","CA. 2343",69.55,"S"
182,"D","B","male","Mr.","Mr.",27,0,0,1,"N","N","N","N","SC/PARIS 2131",15.05,"C"
183,"D","C","male","Master.","Master.",9,4,2,7,"Y","N","Y","C","347077",31.3875,"S"
184,"S","B","male","Master.","Master.",1,2,1,4,"Y","N","Y","C","230136",39,"S"
185,"S","C","female","Miss.","Miss.",4,0,2,3,"N","N","N","N","315153",22.025,"S"
186,"D","A","male","Mr.","Mr.",41,0,0,1,"N","N","N","N","113767",50,"S"
187,"S","C","female","Mrs.","Mrs.",35,1,0,2,"N","N","Y","N","370365",15.5,"Q"
188,"S","A","male","Mr.","Mr.",45,0,0,1,"N","N","N","N","111428",26.55,"S"
189,"D","C","male","Mr.","Mr.",40,1,1,3,"N","N","Y","N","364849",15.5,"Q"
190,"D","C","male","Mr.","Mr.",36,0,0,1,"N","N","N","N","349247",7.8958,"S"
191,"S","B","female","Mrs.","Mrs.",32,0,0,1,"N","N","N","N","234604",13,"S"
192,"D","B","male","Mr.","Mr.",19,0,0,1,"N","N","N","N","28424",13,"S"
193,"S","C","female","Miss.","Miss.",19,1,0,2,"N","N","Y","N","350046",7.8542,"S"
194,"S","B","male","Master.","Master.",3,1,1,3,"Y","N","Y","C","230080",26,"S"
195,"S","A","female","Mrs.","Mrs.",44,0,0,1,"N","N","N","N","PC 17610",27.7208,"C"
196,"S","A","female","Miss.","Miss.",58,0,0,1,"N","N","N","N","PC 17569",146.5208,"C"
197,"D","C","male","Mr.","Mr.",37,0,0,1,"N","N","N","N","368703",7.75,"Q"
198,"D","C","male","Mr.","Mr.",42,0,1,2,"N","N","N","N","4579",8.4042,"S"
199,"S","C","female","Miss.","Miss.",23,0,0,1,"N","N","N","N","370370",7.75,"Q"
200,"D","B","female","Miss.","Miss.",24,0,0,1,"N","N","N","N","248747",13,"S"
201,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","345770",9.5,"S"
202,"D","C","male","Mr.","Mr.",18,8,2,11,"Y","N","Y","C","CA. 2343",69.55,"S"
203,"D","C","male","Mr.","Mr.",34,0,0,1,"N","N","N","N","3101264",6.4958,"S"
204,"D","C","male","Mr.","Mr.",45,0,0,1,"N","N","N","N","2628",7.225,"C"
205,"S","C","male","Mr.","Mr.",18,0,0,1,"N","N","N","N","A/5 3540",8.05,"S"
206,"D","C","female","Miss.","Miss.",2,0,1,2,"N","N","N","N","347054",10.4625,"S"
207,"D","C","male","Mr.","Mr.",32,1,0,2,"N","N","Y","N","3101278",15.85,"S"
208,"S","C","male","Mr.","Mr.",26,0,0,1,"N","N","N","N","2699",18.7875,"C"
209,"S","C","female","Miss.","Miss.",16,0,0,1,"N","N","N","N","367231",7.75,"Q"
210,"S","A","male","Mr.","Mr.",40,0,0,1,"N","N","N","N","112277",31,"C"
211,"D","C","male","Mr.","Mr.",24,0,0,1,"N","N","N","N","SOTON/O.Q. 3101311",7.05,"S"
212,"S","B","female","Miss.","Miss.",35,0,0,1,"N","N","N","N","F.C.C. 13528",21,"S"
213,"D","C","male","Mr.","Mr.",22,0,0,1,"N","N","N","N","A/5 21174",7.25,"S"
214,"D","B","male","Mr.","Mr.",30,0,0,1,"N","N","N","N","250646",13,"S"
215,"D","C","male","Mr.","Mr.",37,1,0,2,"N","N","Y","N","367229",7.75,"Q"
216,"S","A","female","Miss.","Miss.",31,1,0,2,"N","N","Y","N","35273",113.275,"C"
217,"S","C","female","Miss.","Miss.",27,0,0,1,"N","N","N","N","STON/O2. 3101283",7.925,"S"
218,"D","B","male","Mr.","Mr.",42,1,0,2,"N","N","Y","N","243847",27,"S"
219,"S","A","female","Miss.","Miss.",32,0,0,1,"N","N","N","N","11813",76.2917,"C"
220,"D","B","male","Mr.","Mr.",30,0,0,1,"N","N","N","N","W/C 14208",10.5,"S"
221,"S","C","male","Mr.","Mr.",16,0,0,1,"N","N","N","N","SOTON/OQ 392089",8.05,"S"
222,"D","B","male","Mr.","Mr.",27,0,0,1,"N","N","N","N","220367",13,"S"
223,"D","C","male","Mr.","Mr.",51,0,0,1,"N","N","N","N","21440",8.05,"S"
224,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","349234",7.8958,"S"
225,"S","A","male","Mr.","Mr.",38,1,0,2,"N","N","Y","N","19943",90,"S"
226,"D","C","male","Mr.","Mr.",22,0,0,1,"N","N","N","N","PP 4348",9.35,"S"
227,"S","B","male","Mr.","Mr.",19,0,0,1,"N","N","N","N","SW/PP 751",10.5,"S"
228,"D","C","male","Mr.","Mr.",20,0,0,1,"N","N","N","N","A/5 21173",7.25,"S"
229,"D","B","male","Mr.","Mr.",18,0,0,1,"N","N","N","N","236171",13,"S"
230,"D","C","female","Miss.","Miss.",7,3,1,5,"Y","N","Y","C","4133",25.4667,"S"
231,"S","A","female","Mrs.","Mrs.",35,1,0,2,"N","N","Y","N","36973",83.475,"S"
232,"D","C","male","Mr.","Mr.",29,0,0,1,"N","N","N","N","347067",7.775,"S"
233,"D","B","male","Mr.","Mr.",59,0,0,1,"N","N","N","N","237442",13.5,"S"
234,"S","C","female","Miss.","Miss.",5,4,2,7,"Y","N","Y","C","347077",31.3875,"S"
235,"D","B","male","Mr.","Mr.",24,0,0,1,"N","N","N","N","C.A. 29566",10.5,"S"
236,"D","C","female","Miss.","Miss.",22,0,0,1,"N","N","N","N","W./C. 6609",7.55,"S"
237,"D","B","male","Mr.","Mr.",44,1,0,2,"N","N","Y","N","26707",26,"S"
238,"S","B","female","Miss.","Miss.",8,0,2,3,"Y","N","N","C","C.A. 31921",26.25,"S"
239,"D","B","male","Mr.","Mr.",19,0,0,1,"N","N","N","N","28665",10.5,"S"
240,"D","B","male","Mr.","Mr.",33,0,0,1,"N","N","N","N","SCO/W 1585",12.275,"S"
241,"D","C","female","Miss.","Miss.",19,1,0,2,"N","N","Y","N","2665",14.4542,"C"
242,"S","C","female","Miss.","Miss.",23,1,0,2,"N","N","Y","N","367230",15.5,"Q"
243,"D","B","male","Mr.","Mr.",29,0,0,1,"N","N","N","N","W./C. 14263",10.5,"S"
244,"D","C","male","Mr.","Mr.",22,0,0,1,"N","N","N","N","STON/O 2. 3101275",7.125,"S"
245,"D","C","male","Mr.","Mr.",30,0,0,1,"N","N","N","N","2694",7.225,"C"
246,"D","A","male","Dr.","Dr.",44,2,0,3,"N","N","Y","N","19928",90,"Q"
247,"D","C","female","Miss.","Miss.",25,0,0,1,"N","N","N","N","347071",7.775,"S"
248,"S","B","female","Mrs.","Mrs.",24,0,2,3,"N","N","N","N","250649",14.5,"S"
249,"S","A","male","Mr.","Mr.",37,1,1,3,"Y","N","Y","C","11751",52.5542,"S"
250,"D","B","male","Rev.","Rev.",54,1,0,2,"N","N","Y","N","244252",26,"S"
251,"D","C","male","Mr.","Mr.",28,0,0,1,"N","N","N","N","362316",7.25,"S"
252,"D","C","female","Mrs.","Mrs.",29,1,1,3,"N","Y","Y","P","347054",10.4625,"S"
253,"D","A","male","Mr.","Mr.",62,0,0,1,"N","N","N","N","113514",26.55,"S"
254,"D","C","male","Mr.","Mr.",30,1,0,2,"N","N","Y","N","A/5. 3336",16.1,"S"
255,"D","C","female","Mrs.","Mrs.",41,0,2,3,"N","Y","N","P","370129",20.2125,"S"
256,"S","C","female","Mrs.","Mrs.",29,0,2,3,"N","Y","N","P","2650",15.2458,"C"
257,"S","A","female","Mrs.","Mrs.",42,0,0,1,"N","N","N","N","PC 17585",79.2,"C"
258,"S","A","female","Miss.","Miss.",30,0,0,1,"N","N","N","N","110152",86.5,"S"
259,"S","A","female","Miss.","Miss.",35,0,0,1,"N","N","N","N","PC 17755",512.3292,"C"
260,"S","B","female","Mrs.","Mrs.",50,0,1,2,"N","Y","N","P","230433",26,"S"
261,"D","C","male","Mr.","Mr.",37,0,0,1,"N","N","N","N","384461",7.75,"Q"
262,"S","C","male","Master.","Master.",3,4,2,7,"Y","N","Y","C","347077",31.3875,"S"
263,"D","A","male","Mr.","Mr.",52,1,1,3,"N","Y","Y","P","110413",79.65,"S"
264,"D","A","male","Mr.","Mr.",40,0,0,1,"N","N","N","N","112059",0,"S"
265,"D","C","female","Miss.","Miss.",23,0,0,1,"N","N","N","N","382649",7.75,"Q"
266,"D","B","male","Mr.","Mr.",36,0,0,1,"N","N","N","N","C.A. 17248",10.5,"S"
267,"D","C","male","Mr.","Mr.",16,4,1,6,"Y","N","Y","C","3101295",39.6875,"S"
268,"S","C","male","Mr.","Mr.",25,1,0,2,"N","N","Y","N","347083",7.775,"S"
269,"S","A","female","Mrs.","Mrs.",58,0,1,2,"N","Y","N","P","PC 17582",153.4625,"S"
270,"S","A","female","Miss.","Miss.",35,0,0,1,"N","N","N","N","PC 17760",135.6333,"S"
271,"D","A","male","Mr.","Mr.",41,0,0,1,"N","N","N","N","113798",31,"S"
272,"S","C","male","Mr.","Mr.",25,0,0,1,"N","N","N","N","LINE",0,"S"
273,"S","B","female","Mrs.","Mrs.",41,0,1,2,"N","Y","N","P","250644",19.5,"S"
274,"D","A","male","Mr.","Mr.",37,0,1,2,"N","N","N","N","PC 17596",29.7,"C"
275,"S","C","female","Miss.","Miss.",23,0,0,1,"N","N","N","N","370375",7.75,"Q"
276,"S","A","female","Miss.","Miss.",63,1,0,2,"N","N","Y","N","13502",77.9583,"S"
277,"D","C","female","Miss.","Miss.",45,0,0,1,"N","N","N","N","347073",7.75,"S"
278,"D","B","male","Mr.","Mr.",31,0,0,1,"N","N","N","N","239853",0,"S"
279,"D","C","male","Master.","Master.",7,4,1,6,"Y","N","Y","C","382652",29.125,"Q"
280,"S","C","female","Mrs.","Mrs.",35,1,1,3,"N","Y","Y","P","C.A. 2673",20.25,"S"
